inst#,actual,predicted,error,prediction
6,1:Not,1:Not,,0.968
7,1:Not,1:Not,,0.922
8,1:Not,1:Not,,0.917
9,1:Not,2:Forward,+,0.93
10,1:Not,2:Forward,+,0.576
11,1:Not,1:Not,,0.98
12,1:Not,1:Not,,0.999
13,1:Not,2:Forward,+,0.883
14,1:Not,3:Right,+,0.651
15,1:Not,1:Not,,0.752
16,1:Not,1:Not,,0.925
17,1:Not,1:Not,,0.902
18,1:Not,1:Not,,0.986
19,1:Not,1:Not,,0.836
20,1:Not,2:Forward,+,0.86
21,1:Not,2:Forward,+,0.564
22,1:Not,1:Not,,0.902
23,1:Not,2:Forward,+,0.501
24,1:Not,1:Not,,0.924
25,1:Not,2:Forward,+,0.537
26,1:Not,1:Not,,0.945
27,1:Not,1:Not,,1
28,1:Not,1:Not,,0.925
29,1:Not,2:Forward,+,0.673
30,1:Not,1:Not,,0.938
31,1:Not,2:Forward,+,0.854
32,1:Not,1:Not,,0.998
33,1:Not,1:Not,,0.904
34,2:Forward,2:Forward,,0.544
35,2:Forward,1:Not,+,0.915
36,2:Forward,2:Forward,,0.883
37,2:Forward,2:Forward,,0.531
38,2:Forward,2:Forward,,0.98
39,2:Forward,2:Forward,,0.887
40,2:Forward,2:Forward,,0.854
41,2:Forward,2:Forward,,0.859
42,2:Forward,1:Not,+,0.753
43,2:Forward,2:Forward,,0.804
44,2:Forward,2:Forward,,0.887
45,2:Forward,2:Forward,,0.829
46,2:Forward,2:Forward,,0.886
47,2:Forward,2:Forward,,0.864
48,2:Forward,2:Forward,,0.887
49,2:Forward,1:Not,+,0.997
50,2:Forward,1:Not,+,0.736
51,2:Forward,2:Forward,,0.854
52,2:Forward,2:Forward,,0.887
53,2:Forward,1:Not,+,0.973
54,2:Forward,2:Forward,,0.886
55,2:Forward,2:Forward,,0.853
56,2:Forward,2:Forward,,0.836
57,2:Forward,2:Forward,,0.887
58,2:Forward,2:Forward,,0.741
59,2:Forward,2:Forward,,0.844
60,2:Forward,2:Forward,,0.826
61,2:Forward,2:Forward,,0.783
62,2:Forward,2:Forward,,0.871
63,2:Forward,2:Forward,,0.888
64,2:Forward,2:Forward,,0.887
65,2:Forward,2:Forward,,0.815
66,2:Forward,2:Forward,,0.869
67,2:Forward,2:Forward,,0.865
68,2:Forward,2:Forward,,0.887
69,2:Forward,2:Forward,,0.776
70,4:Left,4:Left,,0.984
71,4:Left,4:Left,,0.571
72,4:Left,4:Left,,0.816
73,4:Left,4:Left,,0.965
74,4:Left,4:Left,,0.914
75,4:Left,4:Left,,0.972
76,4:Left,4:Left,,0.965
77,4:Left,4:Left,,0.973
78,4:Left,4:Left,,0.964
79,4:Left,1:Not,+,0.922
80,4:Left,4:Left,,0.973
81,4:Left,1:Not,+,0.443
82,4:Left,1:Not,+,0.92
83,4:Left,4:Left,,0.974
84,4:Left,2:Forward,+,0.886
85,4:Left,4:Left,,0.965
86,3:Right,3:Right,,0.995
87,3:Right,3:Right,,0.997
88,3:Right,3:Right,,0.998
89,3:Right,4:Left,+,0.661
90,3:Right,3:Right,,0.995
91,3:Right,3:Right,,0.936
92,3:Right,3:Right,,0.984
93,3:Right,3:Right,,0.994
94,3:Right,3:Right,,0.964
95,3:Right,3:Right,,0.935
96,3:Right,4:Left,+,0.851
97,3:Right,3:Right,,0.924
98,3:Right,3:Right,,0.974
99,3:Right,3:Right,,0.992
100,3:Right,3:Right,,0.996
